fundCode,navDate,tradeUnit,nav,orderCode
000071,2017-11-15,1,1.5077,024
000071,2017-07-31,1,1.4411,024
000071,2016-04-01,1,1.0120,022
000071,2016-03-01,1,0.9670,022
000071,2016-02-15,2,0.9390,022
000071,2016-01-11,1,0.9960,022
000071,2015-12-30,2,1.0780,022
000071,2015-12-08,1,1.0660,022
000071,2015-11-02,1,1.0720,022
000071,2015-09-01,1,1.0230,022
001051,2016-12-15,1,0.7680,024
001051,2016-06-15,1,0.6890,022
001051,2016-05-03,1,0.7030,022
001051,2016-04-01,1,0.7060,022
001051,2016-03-01,1,0.6480,022
001051,2016-02-01,1,0.6370,022
001051,2016-01-11,1,0.6940,022
001051,2015-09-08,1,0.7210,022
001051,2015-08-03,1,0.8170,022
000968,2017-07-17,1,0.9987,022
000968,2017-05-23,2,0.9959,022
000968,2017-04-25,1,0.9933,022
000968,2017-04-14,1,0.9977,022
000968,2017-01-25,1,0.9595,022
000968,2016-02-29,1,0.8121,022
100032,2017-12-29,1,1.3280,022
100032,2017-12-14,1,1.3100,022
100032,2017-05-23,1,1.1490,022
100032,2017-01-25,1,1.1070,022
100032,2016-12-30,1,1.3750,022
100032,2016-12-15,1,1.3750,022
001064,2017-11-30,1,0.7683,022
001064,2017-11-02,1,0.8050,022
001064,2017-09-01,1,0.7747,022
001064,2016-11-01,1,0.7816,022
001064,2016-05-09,1,0.6801,022
160416,2015-12-14,1,0.7670,022
001052,2017-11-02,1,0.6890,022
001052,2017-05-23,1,0.6130,022
001052,2016-03-01,1,0.5840,022
000051,2016-06-24,1,0.9740,022
000614,2016-09-14,1,1.0060,022
001180,2018-02-06,1,0.7871,022
001180,2017-07-31,1,0.7882,022
001180,2017-05-23,1,0.7855,022
001180,2017-04-28,1,0.8020,022
001180,2017-04-25,1,0.8025,022
001180,2017-03-31,1,0.8153,022
001180,2017-01-16,1,0.7660,022
001180,2016-12-15,1,0.7902,022
050027,2017-10-16,1,1.0720,022
050027,2016-12-01,1,1.0880,022
003376,2017-11-30,1,0.9280,022
003376,2017-11-15,1,0.9334,022
003376,2017-07-31,1,0.9565,022
003376,2017-05-23,1,0.9354,022
003376,2017-04-25,1,0.9456,022
003376,2017-02-15,1,0.9504,022
162411,2017-08-15,1,0.5020,022
162411,2017-04-19,1,0.6000,022
000478,2018-02-06,1,2.2067,022
000478,2018-02-01,1,2.3075,022
000478,2017-12-29,1,2.3536,022
000478,2017-11-30,2,2.3535,022
000478,2017-10-27,1,2.5004,022
000478,2017-09-29,1,2.4887,022
000478,2017-09-01,1,2.4583,022
000478,2017-04-28,1,2.3018,022
501018,2016-10-11,1,1.0128,024
501018,2016-08-02,1,0.8624,022
110026,2017-06-30,1,1.8835,022
003765,2017-07-31,1,0.9600,022
001061,2018-01-19,1,1.2250,022
001061,2017-09-15,1,1.2170,022
001061,2017-08-15,1,1.2260,022
000216,2017-09-29,1,1.0290,022
270048,2017-10-27,1,1.1800,022
270048,2017-10-16,1,1.1890,022
502010,2017-12-14,1,1.0944,022
004752,2018-01-19,2,0.9959,022
001064,2018-02-13,1,0.6708,022
100032,2018-02-13,1,1.1420,022
100032,2018-03-01,1,1.1610,022
100032,2018-04-02,1,1.1160,022
502010,2018-04-02,1,1.0026,022
100032,2018-04-18,1,1.0920,022
000478,2018-04-26,1,2.2256,022
001064,2018-04-26,1,0.6872,022
001061,2018-04-26,1,1.1810,022
003376,2018-04-26,1,0.9688,024
001052,2018-05-15,1,0.6440,022
004752,2018-05-15,1,0.9344,022
001052,2018-05-31,1,0.6190,022
340001,2018-05-31,1,1.0365,022
100038,2018-05-31,1,1.8020,022
162411,2018-05-31,1,0.6670,024
000478,2018-06-14,1,2.1643,022
001469,2018-06-14,1,0.9440,022
340001,2018-06-19,1,1.0040,022
001052,2018-06-19,1,0.5580,022
502010,2018-06-19,1,0.8457,022
001469,2018-06-28,1,0.8660,022
000968,2018-06-28,1,0.9980,022
001064,2018-06-28,1,0.5915,022
100038,2018-06-28,1,1.6690,022
003376,2018-07-05,1,0.9937,024
100032,2018-07-05,1,1.0100,022
001051,2018-07-05,1,0.8120,022
004752,2018-07-16,1,0.8029,022
000614,2018-07-16,1,1.1970,022
161017,2018-08-01,1,1.9490,022
003376,2018-08-06,1,1.0019,024
002903,2018-08-06,1,0.8407,022
001180,2018-08-06,1,0.7732,022
100038,2018-08-06,1,1.6270,022
100032,2018-08-15,1,1.0080,022
001061,2018-08-15,1,1.2510,024
001052,2018-08-20,1,0.5290,022
004752,2018-08-20,1,0.7280,022
000968,2018-08-20,1,0.8968,022
050027,2018-08-20,1,1.0740,024
162411,2018-08-20,1,0.6820,024
